Date,ID,Sample time,Tw_C,EC ,pH,Turbidity,DOC_ppm,NH4,NO3,TIN*,TN_ppm,PO4,TP_ppm,N:P*
4/25/2018,EVN,,,110,7.68,1.2,1.2,0.02,0.23,0.247,0.33,0.107,0.132,2.3
9/19/2018,EVN,11:49,9,101.8,7.86,0.9,1.1,0.01,0.18,0.198,0.42,0.081,0.112,2.44
9/20/2018,EVN,8:30,8.3,101.7,7.73,1.6,0.8,0.01,0.18,0.194,0.27,0.09,0.121,2.16
10/20/2018,EVN,12:19,9.1,96.1,7.61,1.4,0.7,0.01,0.18,0.189,0.28,0.121,0.141,1.57
11/14/2018,EVN,9:55,7.1,97.6,7.76,2.7,1.4,0.01,0.17,0.182,0.21,0.128,0.134,1.43
12/19/2018,EVN,12:11,8.2,95,7.63,1.1,0.9,0,0.16,0.157,0.22,0.111,0.135,1.41
1/25/2019,EVN,10:26,6.7,101,7.63,2.1,0.9,0,0.17,0.173,0.21,0.106,0.131,1.63
2/28/2019,EVN,16:00,,100,7.81,20.1,3.6,0.01,0.29,0.297,0.64,0.111,0.225,2.68
3/21/2019,EVN,11:00,8.8,94,7.89,1.95,1.5,0.03,0.19,0.222,0.37,0.107,0.119,2.08
4/16/2019,EVN,10:50,8.9,104.6,7.73,2,2.342,0.012,0.221,0.233,0.329,0.115,0.105,2.03
5/1/2019,EVN,11:20,9.5,99.95,7.71,1.49,2.073,0.016,0.232,0.248,0.34,0.113,0.12,2.19
6/13/2019,EVN,11:10,10.2,98.35,8.11,,1.267,0.058,0.218,0.277,0.34,0.096,0.12,2.83
7/22/2019,EVN,11:10,9.7,96.17,7.8,1.58,0.806,0,0.186,0.186,0.211,0.083,0.09,2.35
8/7/2019,EVN,17:30,9.6,96.56,7.74,1.19,1.54,0.017,0.224,0.241,0.444,0.115,0.1,4.45
9/9/2019,EVN,12:10,9.7,98.07,8,3.57,1.613,0.024,0.173,0.197,0.298,0.116,0.116,2.57
10/22/2019,EVN,8:40,8.4,102.1,7.91,0.52,0.864,0.005,0.245,0.25,0.305,0.113,0.113,2.71
11/15/2019,EVN,11:00,9.1,106.1,8.03,1.75,1.86,0.003,0.138,0.141,0.399,0.102,0.097,4.13
12/13/2019,EVN,14:00,8.2,114.6,7.91,3.4,4.53,0.019,0.113,0.132,0.456,0.147,0.155,2.94
1/23/2020,EVN,15:45,7.9,124.9,7.7,3.05,2,0.01,0.1,0.119,0.484,0.09,0.097,5
2/21/2020,EVN,16:40,8.9,109.9,7.63,1.95,1.8,0,0.18,0.182,0.651,0.11,0.12,5.45
3/12/2020,EVN,16:35,9.3,104.2,8.97,0.55,0.1,0.01,0.18,0.188,0.475,0.11,0.122,3.91
5/29/2020,EVN,14:35,9.6,120.5,7.8,1.29,1.926,0.016,0.225,0.24,0.394,0.104,0.09,4.39
6/11/2020,EVN,12:40,10,115.9,7.68,0.99,1.744,0.011,0.178,0.189,0.38,0.104,0.128,2.96
7/28/2020,EVN,17:30,9.4,113.7,7.85,0.61,0.814,0,0.179,0.179,0.223,0.098,0.102,2.2
8/20/2020,EVN,13:00,9.6,100.4,7.86,1.77,1.296,0.003,0.186,0.189,0.276,0.101,0.105,2.64
9/21/2020,EVN,14:30,9.2,107.8,7.33,0.87,0.995,0,0.183,0.183,0.533,0.109,0.122,4.35
10/13/2020,EVN,15:00,9.1,105.6,7.64,0.61,1.05,0.009,0.185,0.194,0.244,0.112,0.119,2.04
11/11/2020,EVN,12:02,8.8,113,7.8,0.72,2.753,0.038,0.19,0.227,0.378,0.191,0.119,3.17
1/21/2021,EVN,12:40,8.8,112.8,7.99,2.42,0.858,0,0.193,0.193,0.871,0.107,0.113,7.67
2/2/2021,EVN,13:10,8,134.4,8,1.57,4.323,0.024,0.141,0.165,0.67,0.113,0.099,6.8
3/7/2021,EVN,14:45,9.5,128.2,8.05,2.34,1.932,0.02,0.141,0.161,0.29,0.102,0.112,2.59
4/21/2021,EVN,12:00,9.8,119.2,7.31,1.22,3.417,0.024,0.185,0.209,0.218,0.118,0.123,1.78
5/5/2021,EVN,,,147,8.35,5.08,4.17,0.008,0.202,0.21,0.28,0.124,0.124,2.26
6/13/2021,EVN,,,118.3,7.72,1.57,1.966,0.018,0.194,0.211,0.211,0.107,0.107,1.97
