"","comid","metric","p10","p25","p50","p75","p90","source","result_type"
"55806",3917176,"Peak_Dur_2",2,2,5,9,19,"inferred","predicted"
"126526",3917176,"Peak_Dur_5",1.8,2,3,4,4.4,"inferred","predicted"
"197246",3917176,"Peak_Fre_2",1,1,2,2,4,"inferred","predicted"
"267966",3917176,"Peak_Fre_5",1,1,1,2,2,"inferred","predicted"
"303288",3917176,"Peak_10",141.849864354986,290.909844661638,465.884388806093,916.326992081396,1538.45572752629,"model","predicted"
"443534",3917176,"Peak_2",60.9779301515339,93.8441958879891,260.717531942113,383.221262322809,637.468021554028,"model","predicted"
"583780",3917176,"Peak_5",121.565118631345,268.521403136115,396.007050109601,652.382166003616,1032.55051183106,"model","predicted"
"20408100",3917176,"DS_Dur_WS",78.15,115,159.891666666666,204.80625,234.7,"model","predicted"
"16065410",3917176,"DS_Mag_50",0.953706859088512,3.49562472461693,7.52269799542447,12.0285696942209,16.5293903541095,"model","predicted"
"3009001",3917176,"DS_Mag_90",1.53568217585098,4.69616195545439,9.94035302567554,19.9215053049823,33.5918906520875,"model","predicted"
"4411461",3917176,"DS_Tim",265.95,284.70625,298.525,316,333,"model","predicted"
"6167901",3917176,"FA_Dur",2,3,4,6,8,"obs","predicted"
"6521121",3917176,"FA_Mag",7.29307356640435,13.518174605298,25.239814167913,40.6806260968224,67.7137070093938,"model","predicted"
"792358",3917176,"FA_Tim",6.09,18.8145833333333,32.5,46.7708333333333,60.67,"model","predicted"
"1388740",3917176,"Peak_Dur_10",1,1,1,1,2,"obs","predicted"
"1600900",3917176,"Peak_Fre_10",1,1,1,1,1.5,"obs","predicted"
"1777662",3917176,"SP_Dur",41.475,56.075,74.6666666666667,97.1666666666667,122.675,"model","predicted"
"1917908",3917176,"SP_Mag",29.3754325130237,50.2050609763065,86.3171233939057,153.409320608216,264.926657988374,"model","predicted"
"2093552",3917176,"SP_ROC",0.0394917870142631,0.0472706958927432,0.0555555555555556,0.0669819195397159,0.0814108947291023,"obs","predicted"
"2128874",3917176,"SP_Tim",185.2375,208.229166666667,228,241,252,"model","predicted"
"2269120",3917176,"Wet_BFL_Dur",59.4383333333333,82.59375,114.3,170.125,207.025,"model","predicted"
"2409366",3917176,"Wet_BFL_Mag_10",1.17823628103632,4.1440819026821,10.494221443135,17.8209076507594,23.935256242903,"model","predicted"
"2549612",3917176,"Wet_BFL_Mag_50",6.09340738344822,16.2312332939551,31.9891735326552,45.1352554258587,63.8891157660748,"model","predicted"
"2689858",3917176,"Wet_Tim",24,50.5,90,127.7375,157.1325,"model","predicted"
