water_year,TAF,WYT
1951,315.4744103368574,wet
1952,321.93844246990767,wet
1953,305.1308033229152,wet
1954,269.664179826745,moderate
1955,152.46240194836733,dry
1956,434.4398741434746,wet
1957,246.88958765611198,moderate
1958,494.47464014343757,wet
1959,172.69147930901073,moderate
1960,163.54144590910164,dry
1961,227.9795189052944,moderate
1962,229.37658231931158,moderate
1963,341.9707155706665,wet
1964,186.76885487286086,moderate
1965,402.6615938352456,wet
1966,167.35541152371295,dry
1967,337.34038496262633,wet
1968,152.4186331933085,dry
1969,315.2213295582492,wet
1970,331.94637087119855,wet
1971,362.17366695892713,wet
1972,258.06126124007693,moderate
1973,160.76611266359026,dry
1974,484.4248707772433,wet
1975,422.4784118212592,wet
1976,188.4676045834648,moderate
1977,127.87398362722942,dry
1978,405.65009770458033,wet
1979,151.88148868112515,dry
1980,303.7322663308366,wet
1981,168.34371340288448,moderate
1982,513.5191531157343,wet
1983,426.012127537921,wet
1984,302.9113402162507,wet
1985,182.81679690372206,moderate
1986,306.4105749049794,wet
1987,134.79888112318278,dry
1988,138.16606145194046,dry
1989,194.97528948948317,moderate
1990,189.15988565878243,moderate
1991,163.19625211386173,dry
1992,122.29467514013261,dry
1993,282.7844496660385,moderate
1994,148.09913377413844,dry
1995,519.9859898878336,wet
1996,365.90646195541234,wet
1997,322.06758598214356,wet
1998,296.4839872336814,moderate
1999,298.12924001520616,moderate
2000,194.35682954289993,moderate
2001,149.9746367328339,dry
2002,154.0055271897783,dry
2003,220.47401607870228,moderate
2004,152.1659567868727,dry
2005,164.46016740040915,dry
2006,329.2227542604389,wet
2007,162.58790263390298,dry
2008,143.96012210171307,dry
2009,121.65013084826852,dry
2010,153.74691671333798,dry
2011,206.37814030380608,moderate
2012,180.19882773219217,moderate
2013,194.79623495970014,moderate
2014,136.08605044494408,dry
2015,243.55314321918732,moderate
2016,288.3266780645148,moderate
2017,490.7775077758165,wet
2018,147.89247198684606,dry
2019,228.6142579340635,moderate
2020,131.45704086392473,dry
2021,116.34461823029024,dry
